"Midyear Population and Density for Region Summary"
Region,Country,Year,Population,"Area (sq. km.)","Density (persons per sq. km.)"
World,Nepal,2020,30327877,143351,211.6
World,Netherlands,2020,17280397,33893,509.9
World,"New Caledonia",2020,290009,18275,15.9
World,"New Zealand",2020,4925477,264537,18.6
World,Nicaragua,2020,6203441,119990,51.7
World,Niger,2020,22772361,1266700,18.0
World,Nigeria,2020,214028302,910768,235.0
World,"North Macedonia",2020,2125971,25433,83.6
World,"Northern Mariana Islands",2020,51433,472,108.9
World,Norway,2020,5467439,304282,18.0
World,Oman,2020,3634689,309500,11.7
World,Pakistan,2020,233500636,770875,302.9
World,Palau,2020,21685,459,47.2
World,Panama,2020,3894082,74340,52.4
World,"Papua New Guinea",2020,7259456,452860,16.0
World,Paraguay,2020,7191685,397302,18.1
World,Peru,2020,31914989,1279996,24.9
World,Philippines,2020,109180815,298170,366.2
World,Poland,2020,38282325,304255,125.8
World,Portugal,2020,10302674,91470,112.6
World,"Puerto Rico",2020,3189068,8869,359.6
World,Qatar,2020,2444174,11586,211.0
World,Romania,2020,21302893,229891,92.7
World,Russia,2020,141722205,16377742,8.7
World,Rwanda,2020,12712431,24668,515.3
World,"Saint Barthelemy",2020,7122,25,284.9
World,"Saint Helena, Ascension, and Tristan da Cunha",2020,7862,394,20.0
World,"Saint Kitts and Nevis",2020,53821,261,206.2
World,"Saint Lucia",2020,166487,606,274.7
World,"Saint Martin",2020,32556,54,598.5
World,"Saint Pierre and Miquelon",2020,5347,242,22.1
World,"Saint Vincent and the Grenadines",2020,101390,389,260.6
World,Samoa,2020,203774,2821,72.2
World,"San Marino",2020,34232,61,561.2
World,"Sao Tome and Principe",2020,211122,964,219.0
World,"Saudi Arabia",2020,34173498,2149690,15.9
World,Senegal,2020,15736368,192530,81.7
World,Serbia,2020,7012165,77474,90.5
World,Seychelles,2020,95981,455,210.9
World,"Sierra Leone",2020,6624933,71620,92.5
World,Singapore,2020,6209660,709,8755.9
World,"Sint Maarten",2020,43847,34,1289.6
World,Slovakia,2020,5440602,48105,113.1
World,Slovenia,2020,2102678,20151,104.3
World,"Solomon Islands",2020,685097,27986,24.5
World,Somalia,2020,11757124,627337,18.7
World,"South Africa",2020,56463617,1214470,46.5
World,"South Sudan",2020,10561244,644329,16.4
World,Spain,2020,50015792,498980,100.2
World,"Sri Lanka",2020,22889201,64630,354.2
World,Sudan,2020,45561556,1861484,24.5
World,Suriname,2020,609569,156000,3.9
World,Sweden,2020,10202491,410335,24.9
World,Switzerland,2020,8403994,39997,210.1
World,Syria,2020,19398448,185887,104.4
World,Taiwan,2020,23603049,32260,731.7
World,Tajikistan,2020,8873669,141510,62.7
World,Tanzania,2020,58552845,885800,66.1
World,Thailand,2020,68977400,510890,135.0
World,Timor-Leste,2020,1383723,14874,93.0
World,Togo,2020,8608444,54385,158.3
World,Tonga,2020,106095,717,148.0
World,"Trinidad and Tobago",2020,1208789,5128,235.7
World,Tunisia,2020,11721177,155360,75.4
World,Turkey,2020,82017514,769632,106.6
World,Turkmenistan,2020,5528627,469930,11.8
World,"Turks and Caicos Islands",2020,55926,948,59.0
World,Tuvalu,2020,11342,26,436.2
World,Uganda,2020,43252966,197100,219.4
World,Ukraine,2020,43922939,579330,75.8
World,"United Arab Emirates",2020,9992083,83600,119.5
World,"United Kingdom",2020,65761117,241930,271.8
World,"United States",2020,332639102,9149429,36.4
World,Uruguay,2020,3387605,175015,19.4
World,Uzbekistan,2020,30565411,425400,71.9
World,Vanuatu,2020,298333,12189,24.5
World,Venezuela,2020,28644603,882050,32.5
World,Vietnam,2020,98721275,310070,318.4
World,"Virgin Islands, British",2020,37381,151,247.6
World,"Virgin Islands, U.S.",2020,106235,348,305.3
World,"Wallis and Futuna",2020,15854,142,111.6
World,"West Bank",2020,2900034,5640,514.2
World,"Western Sahara",2020,652271,266000,2.5
World,Yemen,2020,29884405,527968,56.6
World,Zambia,2020,17426623,743398,23.4
World,Zimbabwe,2020,14546314,386847,37.6
